iter	Passed	Remaining
402	10838	26815
403	10865	26787
404	10888	26750
405	10915	26724
406	10940	26691
407	10964	26658
408	10990	26629
409	11022	26616
410	11047	26583
411	11072	26553
412	11097	26521
413	11124	26494
414	11149	26463
415	11175	26435
416	11199	26400
417	11225	26372
418	11251	26343
419	11278	26316
420	11308	26296
421	11335	26269
422	11359	26237
423	11383	26203
424	11409	26175
425	11433	26142
426	11457	26108
427	11482	26077
428	11510	26051
429	11535	26022
430	11559	25989
431	11585	25961
432	11612	25933
433	11636	25899
434	11662	25873
435	11689	25845
436	11716	25818
437	11741	25787
438	11768	25761
439	11796	25736
440	11820	25705
441	11845	25674
442	11870	25643
443	11896	25614
444	11922	25586
445	11950	25561
446	11980	25542
447	12014	25530
448	12038	25499
449	12062	25465
450	12087	25435
451	12112	25404
452	12136	25372
453	12162	25342
454	12189	25316
455	12215	25287
456	12241	25258
457	12268	25233
458	12296	25209
459	12323	25182
460	12348	25152
461	12375	25125
462	12402	25100
463	12427	25069
464	12453	25040
465	12496	25047
466	12524	25021
467	12553	24999
468	12578	24968
469	12605	24941
470	12630	24913
471	12658	24887
472	12682	24855
473	12710	24831
474	12735	24801
475	12760	24770
476	12791	24752
477	12818	24725
478	12842	24693
479	12872	24672
480	12898	24643
481	12924	24616
482	12952	24590
483	12980	24566
484	13009	24543
485	13037	24518
486	13063	24491
487	13090	24464
488	13116	24436
489	13143	24409
490	13166	24375
491	13195	24353
492	13222	24326
493	13248	24297
494	13276	24273
495	13307	24253
496	13332	24223
497	13358	24194
498	13388	24174
499	13412	24143
500	13438	24113
501	13462	24083
502	13493	24062
503	13515	24027
504	13543	24002
505	13574	23983
506	13602	23958
507	13627	23927
508	13657	23906
509	13683	23878
510	13708	23848
511	13734	23820
512	13759	23790
513	13787	23766
514	13813	23738
515	13839	23710
516	13864	23679
517	13897	23663
518	13924	23636
519	13948	23605
520	13974	23576
521	14003	23553
522	14028	23524
523	14052	23492
524	14078	23463
525	14105	23437
526	14131	23409
527	14158	23383
528	14186	23357
529	14215	23334
530	14240	23305
531	14271	23285
532	14298	23259
533	14325	23232
534	14351	23203
535	14377	23176
536	14406	23151
537	14431	23122
538	14455	23091
539	14486	23070
540	14514	23045
541	14540	23017
542	14563	22985
543	14608	22986
544	14663	23004
545	14692	22980
546	14717	22949
547	14743	22921
548	14769	22894
549	14797	22869
550	14822	22839
551	14848	22811
552	14874	22783
553	14900	22753
554	14926	22726
555	14952	22697
556	14977	22668
557	15004	22640
558	15030	22612
559	15054	22582
560	15083	22557
561	15111	22532
562	15138	22506
563	15163	22476
564	15193	22454
565	15221	22428
566	15256	22414
567	15312	22428
568	15343	22408
569	15372	22384
570	15400	22358
571	15425	22329
572	15449	22297
573	15477	22272
574	15501	22241
575	15531	22218
576	15560	22194
577	15589	22170
578	15618	22146
579	15644	22118
580	15675	22096
581	15702	22070
582	15729	22042
583	15756	22015
584	15782	21987
585	15809	21960
586	15837	21934
587	15861	21903
588	15888	21877
589	15913	21846
590	15939	21818
591	15965	21790
592	15992	21764
593	16016	21733
594	16044	21706
595	16072	21681
596	16098	21652
597	16124	21625
598	16150	21596
599	16180	21574
600	16205	21544
601	16230	21515
602	16259	21490
603	16288	21466
604	16314	21438
605	16338	21407
606	16370	21386
607	16399	21362
608	16431	21341
609	16459	21316
610	16485	21288
611	16512	21260
612	16537	21231
613	16565	21206
614	16595	21183
615	16621	21154
616	16646	21125
617	16675	21100
618	16713	21087
619	16756	21080
620	16799	21073
621	16837	21060
622	16873	21045
623	16910	21029
624	16952	21020
625	16988	21004
626	17025	20990
627	17065	20979
628	17103	20964
629	17138	20947
630	17178	20935
631	17213	20917
632	17248	20900
633	17286	20886
634	17324	20870
635	17362	20856
636	17401	20844
637	17443	20833
638	17493	20833
639	17527	20814
640	17562	20795
641	17601	20782
642	17641	20769
643	17676	20750
644	17708	20728
645	17743	20710
646	17781	20694
647	17823	20683
648	17890	20702
649	17927	20685
650	17971	20676
651	18005	20656
652	18041	20638
653	18080	20623
654	18114	20603
655	18146	20581
656	18188	20569
