iter	Logloss
0	0.664309832
1	0.6374646217
2	0.6126162262
3	0.5892688757
4	0.5678315944
5	0.548055105
6	0.5297016331
7	0.5126053098
8	0.4968226894
9	0.4818715677
10	0.4683589526
11	0.455856999
12	0.4442792997
13	0.4335416088
14	0.4234133225
15	0.4140215572
16	0.4052425581
17	0.3969563761
18	0.3893250439
19	0.3823358315
20	0.3759857868
21	0.3691394346
22	0.3625980443
23	0.3565985279
24	0.3511022277
25	0.3459038784
26	0.3410803713
27	0.3366273515
28	0.3326291166
29	0.3286301134
30	0.3251617178
31	0.3218136259
32	0.3185821272
33	0.3157453251
34	0.3135276026
35	0.3110694523
36	0.308326435
37	0.3056927633
38	0.3033026312
39	0.3010102342
40	0.2989160992
41	0.2969543523
42	0.2950097738
43	0.2933153278
44	0.2917473832
45	0.2902409257
46	0.2888856174
47	0.2876057973
48	0.286212369
49	0.2848971421
50	0.2837376204
51	0.2827558229
52	0.2818187709
53	0.2809985305
54	0.2801240581
55	0.2793914652
56	0.2786665848
57	0.2779535155
58	0.2773222625
59	0.2767409003
60	0.2761022224
61	0.2756434209
62	0.275098288
63	0.2746751578
64	0.2742775178
65	0.2738418862
66	0.2734733181
67	0.2730402016
68	0.2726840145
69	0.2721903916
70	0.2719227379
71	0.2716224789
72	0.2713233813
73	0.2709311851
74	0.2706344579
75	0.2702698194
76	0.2700739931
77	0.2699292662
78	0.2696675516
79	0.2694334309
80	0.2691457241
81	0.2688162583
82	0.2685104278
83	0.268276511
84	0.2680165253
85	0.267866994
86	0.2676380969
87	0.2674584125
88	0.2672922748
89	0.2670940977
90	0.2670095998
91	0.2668107782
92	0.2666252107
93	0.2664973383
94	0.2663940533
95	0.2662887305
96	0.2661530486
97	0.2660103568
98	0.2658610324
99	0.2657249015
100	0.2655506188
101	0.2654275922
102	0.2653529253
103	0.2652657793
104	0.2651385814
105	0.2650581415
106	0.26495336
107	0.2648739768
108	0.2647833593
109	0.2647091777
110	0.2646446448
111	0.2645684169
112	0.2644667261
113	0.2644152401
114	0.264333421
115	0.2642536249
116	0.2641307883
117	0.2640808673
118	0.2640352908
119	0.263971082
120	0.2638754997
121	0.2638147895
122	0.2637840811
123	0.2637125327
124	0.2636345614
125	0.2635478638
126	0.263478965
127	0.2634263343
128	0.2633579806
129	0.2632834083
130	0.2631922764
131	0.2631405238
132	0.2630998843
133	0.2630260929
134	0.2630066644
135	0.2629635218
136	0.2629352557
137	0.2628467667
138	0.2628169482
139	0.2627475222
140	0.2626872063
141	0.2626326961
142	0.262566866
143	0.2625030329
144	0.2624399113
145	0.2623762311
146	0.2623261998
147	0.2622507049
148	0.2622093792
149	0.262203089
150	0.2621216746
151	0.2621006304
152	0.2620297325
153	0.2620076554
154	0.261988505
155	0.2619484586
156	0.2618971014
157	0.2618612556
158	0.2617855183
159	0.2617407393
160	0.2617052339
161	0.26166109
162	0.2615604448
163	0.2615250512
164	0.2615023078
165	0.2614994522
166	0.2614734585
167	0.2614378078
168	0.2614072678
169	0.2613737442
170	0.2613127714
171	0.2612677412
172	0.2612340171
173	0.2612051971
174	0.2611400369
175	0.2610904262
176	0.2610629005
177	0.2610402224
178	0.2610070827
179	0.2609920275
180	0.2609493795
181	0.2609325638
182	0.2609293852
183	0.2608796051
184	0.260840391
185	0.2608031249
186	0.2607674338
187	0.2607539921
188	0.2607466401
189	0.2607410614
190	0.2607049444
191	0.2606881648
192	0.2606791608
193	0.2606560431
194	0.2606474821
195	0.260622446
196	0.2605932659
197	0.2605889038
198	0.2605453679
199	0.2605431089
200	0.2605323194
201	0.260518509
202	0.2605074499
203	0.2604831027
204	0.2604446476
205	0.2604117418
206	0.2603840913
207	0.2603759422
208	0.2603396727
209	0.2603234713
210	0.2602974809
211	0.2602917807
212	0.2602551975
213	0.2602473265
214	0.2602142917
215	0.2601730202
216	0.2601698057
217	0.2601235524
218	0.2600833726
219	0.2600741084
220	0.2600705167
221	0.2600277266
222	0.2600241395
223	0.2600038218
224	0.2599869965
225	0.2599642762
226	0.2599339512
227	0.2599274984
228	0.259883093
229	0.2598158561
230	0.2597780234
231	0.2597557107
232	0.2597125438
233	0.2596995546
234	0.2596603898
235	0.2596473788
236	0.2595950549
237	0.2595603925
238	0.2595462603
239	0.2595294523
240	0.2595158378
241	0.2595071167
242	0.2595024378
243	0.2594900398
244	0.2594748114
245	0.2594414618
246	0.2594120708
247	0.259374127
248	0.2593611159
249	0.2593242934
250	0.2592923813
251	0.2592756062
252	0.2592729179
253	0.2592700806
254	0.2592666287
255	0.2592383562
256	0.2592116057
257	0.259184971
258	0.2591512604
259	0.2591299384
260	0.2590940997
261	0.2590626669
262	0.2590602832
263	0.259029285
264	0.2590214585
265	0.2590176096
266	0.2590116576
267	0.2589782838
268	0.2589605056
269	0.2589533705
270	0.2589462622
271	0.2589412117
272	0.2589241845
273	0.2589006767
274	0.2588686043
275	0.2588639656
276	0.2588241966
277	0.2588205366
278	0.2588135178
279	0.2588110447
280	0.2587946785
281	0.2587501882
282	0.2587384277
283	0.25873384
284	0.258731037
285	0.25871725
286	0.2587009671
287	0.2586930524
288	0.2586794006
289	0.2586740936
290	0.2586535612
291	0.2586367314
292	0.2586078575
293	0.2585936106
294	0.2585901497
295	0.2585640835
296	0.258561142
297	0.2585287816
298	0.2585246509
299	0.2584913228
300	0.2584838419
301	0.2584661475
302	0.2584352369
303	0.2584312925
304	0.2584203595
305	0.2584009238
306	0.2583903136
307	0.2583580679
308	0.2583521264
309	0.258346234
310	0.2583403638
311	0.2583378082
312	0.2582924267
313	0.2582828682
314	0.2582607488
315	0.2582309252
316	0.2581963336
317	0.2581692498
318	0.2581495481
319	0.2581443987
320	0.2581398424
321	0.2581349992
322	0.2581200312
323	0.2581177361
324	0.2581132465
325	0.258057325
326	0.2580359129
327	0.2580003015
328	0.2579928684
329	0.2579880592
330	0.2579658966
331	0.2579633035
332	0.2579127259
333	0.2579100845
334	0.2578959932
335	0.2578703128
336	0.2578518165
337	0.2578303333
338	0.2578105165
339	0.2577884754
340	0.2577672878
341	0.2577623616
342	0.2577441509
343	0.2577075707
344	0.2576681231
345	0.2576153534
346	0.2576112646
347	0.2575719477
348	0.2575655733
349	0.2575578522
350	0.2575552695
351	0.2575213382
352	0.2575060239
353	0.2574934141
354	0.2574766215
355	0.2574575296
356	0.2574300668
357	0.2573825776
358	0.2573780424
359	0.2573745608
360	0.2573698469
361	0.2573655497
362	0.2573473615
363	0.257333653
364	0.2573230238
365	0.2573184961
366	0.2572857463
367	0.2572201742
368	0.2572090504
369	0.2571985917
370	0.2571944012
371	0.2571904804
372	0.2571830703
373	0.2571437735
374	0.25713188
375	0.2571278432
376	0.257123515
377	0.257119121
378	0.2571093324
379	0.2570916359
380	0.2570709844
381	0.2570317539
382	0.2570192875
383	0.2570145322
384	0.2569862377
385	0.2569709284
386	0.2569324966
387	0.2569213454
388	0.2569045142
389	0.2569002711
390	0.256839604
391	0.256792809
392	0.2567631597
393	0.256758202
394	0.2567537538
395	0.2567411578
396	0.2567365527
397	0.2566850052
398	0.2566814074
399	0.2566770447
400	0.2566733363
401	0.2566571657
402	0.2566532775
403	0.2566144864
404	0.2566081646
405	0.2566042273
406	0.2566001804
407	0.2565746152
408	0.2565699727
409	0.2565487937
410	0.2565368181
411	0.2565161356
412	0.2565122219
413	0.2564942531
414	0.2564910777
415	0.2564874297
416	0.2564836759
417	0.2564793631
418	0.2564754332
419	0.2564567969
420	0.2564234558
421	0.2564020657
422	0.2563982314
423	0.2563942111
424	0.25637224
425	0.256368589
426	0.256364803
427	0.2563612286
428	0.2563576546
429	0.2563540482
430	0.256336504
431	0.2563075974
432	0.256304564
433	0.2562892411
434	0.2562854456
435	0.2562819198
436	0.256278168
437	0.2562748904
438	0.2562464076
439	0.2562376908
440	0.2561961966
441	0.2561933743
442	0.2561471235
443	0.256142439
444	0.2561390964
445	0.2561116229
446	0.2560634877
447	0.2560281856
448	0.2560082715
449	0.2560046517
450	0.2560011536
451	0.2559981025
452	0.2559748181
453	0.2559443757
454	0.2558983378
455	0.2558717797
456	0.255845162
457	0.2558085825
458	0.2557842556
459	0.2557687647
460	0.2557655817
461	0.2557476581
462	0.2557352219
463	0.2557132425
464	0.2556930439
465	0.2556611378
466	0.2556581385
467	0.2556304191
468	0.2556182061
